storyid,legacysheet,titleC,titleE,target,levelC,levelE,author,originalAuthor,editor,cantoneseTeam,artist,synopsisC,synopsisE,keywords,isbn,attribution
00185,00185-f-code.csv,靚女,Pretty Lady,Teen/Adult,HBL Lv4,,綠柚子,,,"綠柚子（作者Author）, Joanne Chu, Summer Mut",,,,,,"""Pretty Lady” (Cantonese), written by 綠柚子, published by HamBaangLaang (© HamBaangLaang, 2022) under a CC BY 4.0 license on hambaanglaang.hk"
00186p,00186p-f-code.csv,上有巫婆，下有怪獸,Why Don’t Things Fall Up?,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu, Pong, Philip Wong",Greystroke,,,,,
00187p,00187p-f-code.csv,校規,The Right Way School,細路 Child,HBL Lv4,,黃嘉俊,,,"黃嘉俊 (作者Author), Joanne Chu, Pong",Fahad Faizal,,,,,
00188p,00188p-f-code.csv,蝴蝶好靚呀,A Butterfly Smile,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者 Author), Joanne Chu, Johnas Tsang, Philip Wong",Lavanya Naidu,,,,,
00189,00189-f-code.csv,姐姐,Helper,大人 Adult,HBL Lv4,,939,,,"939 (作者Author), Joanne Chu, Philip Wong, Ralph","Photo by  Rex Pe, Colin Tsoi, Nicolas Lannuzel, KC Wong, Chris Guillebeau, Francisco Anzola",,,,,
00190,00190-f-code.csv,一韻到底,All About Rhyme,teen/adult,HBL Lv7,,939,,,"939 (作者 Author), Philip Wong,Arthur Edwards, 小明 (Voice artist)",,,,,,
00191p,00191p-f-code.csv,讓我閃耀,Stage Fright,細路 Child,HBL Lv4,,綠柚子,Yamini Vijayan,,"綠柚子 (作者Author), Joanne Chu, Summer Mut",Somesh Kumar,,,"Emotion, Childhood, Experience",,
00192p,00192p-f-code.csv,大藝術家,Angry akku,細路 Child,HBL Lv3,,綠柚子,Vinayak Varma,,"綠柚子 (作者 Author), Joanne Chu, Philip Wong, Summer Mut",Vinayak Varma,,,親子 Parent-child Relationship,,"""The Great Artist” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, Angry Akku (English), written by Vinayak Varma, illustrated by Vinayak Varma, supported by Oracle, published by Pratham Books (© Pratham Books,2017) under a CC BY 4.0 license, first released on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in"
00193,00193-f-code.csv,新手父母,Newbie Parents,teen/adult,HBL Lv7,,939,,,"939 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 子豪 (Voice artist)",小陳,,,,,
00194p,00194p-f-code.csv,點解？,,細路 Child,HBL Lv4,,黃嘉俊,,,"黃嘉俊 (作者 Author), Joanne Chu, Philip Wong, Dr Lee Dennig",Anusha Raichur,,,,,
00195p,00195p-f-code.csv,寵物,,細路 Child,HBL Lv4,,黃嘉俊,,,"黃嘉俊 (作者 Author), Joanne Chu, 張錫莉, Philip Wong",Candace di Talamo,,,,,
00196p,00196p-f-code.csv,流浪狗,,細路 Child,HBL Lv4,,Gaaupper,,,"Gaaupper (作者 Author), Joanne Chu, 張錫莉, Philip Wong",Sarthak Sinha,,,,,
00197,00197-f-code.csv,演唱會,The Concert,teen/adult,HBL Lv7,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Joanne Chu (Voice artist)",Kenneth,,,,,
00198,00198-f-code.csv,塞車,,teen/adult,HBL Lv7,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 子豪",Wmekaco,,,,,
00199,00199-f-code.csv,涼茶舖嘅Happy Hour,,teen/adult,HBL Lv7,,懸壺廬,,,"懸壺廬 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Joanne Chu",Sophie Liu (@randomsofui),,,,,
00200,00200-f-code.csv,至like交通工具,The Most Likable Transportation,teen/adult,HBL Lv7,,餘星 ,,,"餘星 (作者 Author), 張錫莉, Connie Li, Philip Wong, Pong, Aquaria Li (Voice artist)",Angel,,,,,
00201,00201-f-code.csv,時間，你去咗邊？,Where Does the Time Go?,細路 Child,HBL Lv5,,餘星 ,,,"餘星 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Chan Long,,,,,
00202,00202-f-code.csv,豬仔藏寶圖,,Child/teen/adult,HBL Lv5,,天水川樹,,,"天水川樹 (作者 Author), 張錫莉, Connie Li, Philip Wong, 黎奕葆, Susanna Shong",鄭淑雯,,,,,
00203,00203-f-code.csv,飲茶,Yum Cha,,HBL Lv5,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Philip Wong, 黎奕葆, Shan",ksksn,,,,,"""Drinking Tea” (Cantonese), written by Yip Chun Yin, Illustrated by ksksn, published by HamBaangLaang (© HamBaangLaang, 2022) under a CC BY 4.0 license on hambaanglaang.hk"
00204,00204-f-code.csv,父子——子,Father and ‘Son’,teen/adult,HBL Lv5,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Arthur Edwards, 子豪 (Voice artist)",Kenneth,,,,,
00205,00205-f-code.csv,父子——父,‘Father’ and Son,teen/adult,,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Arthur Edwards, 子豪 (Voice artist)",Ken,,,,,"""‘Father’ and Son” (Cantonese), written by Yip Chun Yin, illustrated by Kenneth, published by HamBaangLaang (© HamBaangLaang, 2022) under a CC BY 4.0 license on hambaanglaang.hk"
00206,00206-f-code.csv,選班長,,細路 Child,HBL Lv5,,黃嘉俊,,,"黃嘉俊 (作者 Author), 張錫莉, Connie Li, Philip Wong, Hulk, Susanna Shong",Bella Wong,,,,,
00207,00207-f-code.csv,廣東話中國神話故事．盤古開天闢地．女媧造人,,,HBL Lv5,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Pong, Arthur Edwards, Karen Man (voice)",ksksn,,,神話故事 Mythology,,
00208,00208-f-code.csv,八號,Number 8,,HBL Lv7,,黃嘉俊,,,"黃嘉俊 (作者 Author), 張錫莉, Connie Li, Arthur Edwards , Joanne Chu",Wendy Yu,,,,,
00209,00209-f-code-print2.csv,河狸築巢記,,細路 Child,HBL Lv5,,天水川樹,,,"天水川樹 (作者 Author), 張錫莉, Connie Li, Philip Wong, Pong, Joanne Chu, Manasi Thapa",JLHOM,熱心嘅河狸艾迦諗住幫朋友，點知闖禍，佢會點樣面對同處理呢？,,真誠 Sincerity,,
00210,00210-f-code.csv,廣東話中國寓言故事．塞翁失馬，焉知非福,,,HBL Lv5,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, Susanna Shong",Kenneth,,,寓言 Fable,,
00211,00211-f-code.csv,廣東話中國寓言故事．江郎才盡．夢筆生花,,細路 Child,HBL Lv6,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Shan",Kenneth,,,寓言 Proverb/Fable,,
00212,00212-f-code.csv,廣東話中國寓言故事．一飯千金,A Meal Worths a Thousand Taels of Gold,細路 Child,HBL Lv6,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, Miss Kini (Voice artist)",Kenneth,,,,,
00213,00213-f-code.csv,廣東話中國寓言故事．杞人憂天．杯弓蛇影,Worrywart,細路 Child,HBL Lv5,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, 小明 (Voice artist)",Kenneth,,,,,
00214,00214-f-code.csv,廣東話中國智慧故事．曹沖稱象,,細路 Child,HBL Lv5,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Jam Leung",Wendy Yu,,,智慧 Wisdom,,
00215,00215-f-code.csv,廣東話中國智慧故事．田忌賽馬,,細路 Child,HBL Lv5,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, Joanne Chu",Wendy Yu,,,,,
00216,00216-f-code.csv,淥麵,Preparing Noodles,teen/adult,HBL Lv7,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Joanne Chu (Voice artist)",DarkChildRed ,,,,,
00217,00217-f-code.csv,望夫石,Amah Rock,teen/adult,HBL Lv7,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Jerry So (Voice artist)",Wmekaco,,,,,
00218,00218-f-code.csv,廣東話中國智慧故事．神童孔融,,細路 Child,HBL Lv6,,Philip Wong ,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, 子豪",Wendy Yu,,,智慧 Wisdom,,
00219,00219-f-code.csv,廣東話中國智慧故事．東方朔傳奇,,細路 Child/ teen,HBL Lv6,,Philip Wong ,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards  , Joanne Chu",Wendy Yu,,,,,
00220,00220-f-code.csv,廣東話中國神話故事．大禹治水,,細路 Child,HBL Lv5,,Philip Wong ,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards , Joanne Chu",ksksn,,,神話 Mythology,,
00221p,,五號仔去咗邊？,,,,,,,,,,,,,,
00222p,00222p-f-code.csv,堂叔嘅拖肥糖,Uncle’s Toffee,細路 Child,HBL Lv6,,未悠,Adithi Rao,,"未悠 (作者 Author), (Editor), (Editor), Kit Shum, 小明 (Voice artist)",Krishna Bala Shenoi,,,,,
00223p,00223p-f-code.csv,嘉欣嘅飯盒,,細路 Child,HBL Lv6,,Cassie,,,"Cassie (作者 Author), 張錫莉, Connie Li, Philip Wong, Aquaria Li",Ogin Nayam,點解嘉欣一打開飯盒就大嗌？ 唔通盒飯有古怪？,,飲食文化 Food Culture,,
00224p,00224p-f-code.csv,哥哥嘅朋友,A Friend of My Brother,細路 Child,HBL Lv6,,天水川樹 ,Sanjana Kapur,,"天水川樹 (作者Author), Joanne Chu, Ki Mei Ying, Philip Wong, Kit Shum (voice artist)",Sunaina Coelho,,,,,
00225p,00225p-f-code.csv,一隻海龜嘅回憶,The Memory of a Turtle,細路 Child,HBL Lv6,,Suki,Kartik Shanker,,"Suki (作者 Author), 張錫莉, Connie Li, Arthur Edwards, Susanna Shong (Voice artist)",Maya Ramaswamy,,,,,
00226p,00226p-f-code.csv,我隱咗形啊！,Invisible Cloak,細路 Child,HBL Lv6,,Cassie,Varsha Joshi,,"Cassie (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Radhika Tipnis,,,,,
00227p,00227p-f-code.csv,改造漁村,Transforming the Fishing Village,細路 Child,HBL Lv6,,Suki,Bibek Bhattacharya,,"Suki (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Joanna Davala,,,,,
00228p,00228p-f-code.csv,法蒂瑪同月亮,Fatima and the Moon,Child/TeenAdult,HBL Lv6,,Cassie,Kartik Shanker,,"Cassie (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Karen Man(Voice artist)",Prabha Mallya,,,,,
00229,00229-f-code.csv,廣東話中國神話故事．后羿射日同埋嫦娥奔月,,細路 Child,HBL Lv6,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards , Annie Lam",ksksn,,,神話 Mythology,,
00230p,00230p-f-code.csv,古宅心慌慌,The Haunted Mansion,細路 Child,HBL Lv6,,King,Andaleeb Wajid,,"King (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Kabini Amin,,,,,
00231p,00231p-f-code.csv,老鼠仔班班,Little Mouse Bandi,細路 Child,HBL Lv6,,King,Aditi Ghosh,,"King (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Sunaina Coelho,,,,,
00232,00232-f-code.csv,凍檸茶,,,HBL Lv6,,曾曾,,,"曾曾 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Shan",曾曾,一齊嚟學下點整充滿港式風味嘅凍檸茶！,,科學 Science,,
00233p,00233p-f-code.csv,去果園玩,,Child/TeenAdult,HBL Lv6,,黃宇恒 Thomas,,,"黃宇恒 Thomas (作者 Author), 張錫莉, Connie LiPhilip Wong, Arthur Edwards, Susanna Shong",Nimret Handa,,,大自然 Nature,,
00234,00234-f-code.csv,廣東話中國神話故事．精衛填海,Jingwei Fills the Ocean,細路 Child,HBL Lv6,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, Karen Man (Voice artist)",ksksn,,,,,
00235,00235-f-code.csv,我係陳凱琪,,細路 Child,HBL Lv5,,趙婉慧,,,"趙婉慧 (作者 Author), Philip Wong, Arthur Edwards , Connie Li, 綠柚子, Jade Wu",趙鵬琦,,,,,
00236,00236-f-code.csv,廣東話中國智慧故事．愚公移山．賣油翁,The Foolish Old Man Removes the Mountains and the Old Oil Merchant,細路 Child,HBL Lv7,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, 小明 (Voice artist)",Wendy Yu,,,,,
00237,00237-f-code.csv,廣東話中國寓言故事．曾參嘅謠言同埋三隻老虎嘅故事,The Rumour of Zeng Shen and the Story of Three Tigers,細路 Child,HBL Lv7,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Arthur Edwards, 小明 (Voice artist)",Ken,,,,,
00238,00238-f-code.csv,廣東話中國神話故事．山海經神話與故事,Classic of Mountains and Seas,細路 Child,HBL Lv7,,Philip Wong,,,"Philip Wong (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",ksksn,,,,,
00239p,00239p-f-code.csv,探寶尋寶,The Treasure of Varsha,細路 Child,HBL Lv7,,Natalie Wa,Shalini Srinivasan,,"Natalie Wan (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Debasmita Dasgupta,,,,,
00240p,00240p-f-code.csv,我嘅夢想魔氈,The Modern Magic Carpet,細路 Child,HBL Lv7,,Mikami,Sreelata Menon,,"Mikami (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Satya Krishna Prakash,,,,,
00241p,00241p-f-code.csv,郁郁手指‧天下我有,The World Wide Web,細路 Child,HBL Lv7,,Cassie ,Roopa Pai,,"Cassie (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Delwyn Remedios,,,,,
00242p,00242p-f-code.csv,彩色世界,A Colourful World,細路 Child,HBL Lv7,,天水川樹 ,Ananya Dasgupta,,"天水川樹 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Chaaya Prabhat,,,,,
00243,00243-f-code.csv,族譜,The Genealogy Book,teen/adult,HBL Lv7,,Q ,,,"Q (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",,,,,,
00244p,00244p-f-code.csv,愛的風箏,The Kite of Love,細路 Child,HBL Lv5,,Miki ,Avni Malik,,"Miki (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Alankrita Amaya,,,,,
00245p,00245p-f-code.csv,我嘅好朋友Bonda,My Best Friend Bonda,細路 Child,HBL Lv6,,阿娃 ,Roopa Pai,,"阿娃 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Jit Chowdhury,,,,,
00246p,00246p-f-code.csv,冇人信我,No One Believes  Me,細路 Child,HBL Lv5,,黃嘉俊,Jairaj Singh,,"黃嘉俊 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Bhargavi Rudraraju,,,,,
00247p,00247p-f-code.csv,失控嘅雀仔,Jairaj Singh,細路 Child,HBL Lv6,,黃嘉俊,Shalini Srinivasan,,"黃嘉俊 (作者 Author), 張錫, Connie Li, Philip Wong, Arthur Edwards, Shan (Voice artist)",Prabha Mallya,,,,,
00248p,00248p-f-code.csv,食月亮嘅巨龍,The Space Dragon Who Ate the Moon,Child/TeenAdult,HBL Lv7,,黃嘉俊,Aarushi Konda,,"黃嘉俊 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Joanne Chu (Voice artist)",Somesh Kumar,,,,,
00249p,00249p-f-code.csv,錢係咩嚟㗎？,What is Money?,細路 Child,HBL Lv5,,黃宇恒 Thomas,Mala Kumar,,"黃宇恒 Thomas (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Deepa Balsavar,,,,,
00250p,00250p-f-code.csv,嘉嘉嘅紫色朋友,Karly’s Purple Friend,細路 Child,HBL Lv5,,黃宇恒 Thomas,"Sherein Bansal
",,"黃宇恒 Thomas (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum(Voice artist)","Sonal Goyal, Sumit Sakhuja and Sumit Sakhuja",,,,,
00251p,00251p-f-code.csv,雨神城蒙難記,The Story of Rain God City,細路 Child,HBL Lv7,,Suki,Ogin Nayam,,"Suki (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Shan (Voice artist)",Ogin Nayam,,,,,
00252p,00252p-f-code.csv,數字人生,A Life Full of Numbers,細路 Child,HBL Lv6,,黃宇恒 Thomas,Shreyasi Singh,,"黃宇恒 Thomas (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Rai,,,,,
00253p,00253p-f-code.csv,科技之外,Outside of Technology,細路 Child,HBL Lv7,,Suki,Rya Jetha,,"Suki (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Sourav Sarkar,,,,,
00256,00256-f-code.csv,貓貓唔見咗,,細路 Child,HBL Lv1,,黎奕葆 ,,,"黎奕葆 （作者Author), P C  Chan, Philip Wong",Kenneth,,,,,
00257,00257-f-code.csv,買嘢,la Vie En Rose,細路 Child,HBL Lv1,CEFR A1,擇言,,,"擇言 (作者Author), Joanne Chu,綠柚子, Philip Wong",Kenneth,,The delight of an unexpected holiday ! ,"Fun, Family, Relaxation",,
00258,00258-f-code.csv,掛住婆婆,,細路 Child,HBL Lv1,,趙婉慧,,,"趙婉慧 (作者Author), Joanne Chu",Kenji,,,,,
00259,00259-f-code.csv,媽媽病咗,,細路 Child,HBL Lv1,,Karen Wong,,,"Karen Wong (作者 Author), Joanne Chu",WAIMANN,,,,,
00260,00260-f-code.csv,搭巴士,,細路 Child,HBL Lv1,,Karen Wong,,,"Karen Wong (作者Author）, Joanne Chu, 綠柚子, Philip Wong",Mandy Chan,,,,,
00261,00261-f-code.csv,飲早茶,Dim Sum Love,細路 Child,HBL Lv1,CEFR A1,Karen Wong,,,"Karen Wong (作者Author), Joanne Chu, 綠柚子, Philip Wong",DarkChildRed,,Its who you have by your side that matters.,"Family, Challenges, Positivity ",,
00262p,00262p-f-code.csv,咩聲嚟㗎？,,細路 Child,HBL Lv1,,Karen Wong,,,"Karen Wong (作者Author), Joanne Chu, Philip Wong",Partho Sengupta,,,,,
00263,00263-f-code-print.csv,雀仔,Bird,細路 Child,HBL Lv1,CEFR A1,趙婉慧,,,"趙婉慧 （作者Author), Joanne Chu, Philip Wong",Kenji,,The busy life of Hong Kong birds,"Nature, Family,  Friendship",,
00264,00264-f-code.csv,生日快樂,,細路 Child,HBL Lv1,,趙婉慧,,,"趙婉慧 (作者 Author), Joanne Chu, Philip Wong",趙鵬琦,昌仔得到一份不一樣嘅生日禮物，個口識郁，條尾好靚，係咩嚟嘅呢？,,寵物 Pet,,
00265,00265-f-code.csv,叻叻花貓,Fame or Happiness ?,細路 Child,HBL Lv1,CEFR A1,趙婉慧,,,"趙婉慧 （作者Author), Joanne Chu, 綠柚子, Philip Wong",趙鵬琦,,Are famous people as happy as they look ? ,"Fame, Stress , Happiness",,
00266,00266-f-code.csv,海龜,Turtle,細路 Child,HBL Lv1,CEFR A1,趙婉慧,,,"趙婉慧 (作者Author), Joanne Chu",Kenneth,,Meet these brave baby turtles and their human friend,"Conservation, Nature, Determination ",,
00267,00267-f-code.csv,兔仔要走喇,,細路 Child,HBL Lv1,,趙婉慧,,,"趙婉慧 （作者Author), P C  Chan, Philip Wong",金子,,,,,
00268,00268-f-code.csv,我有一隻狗,,細路 Child,HBL Lv1,,小灰 ,,,"小灰 (作者 Author), Joanne Chu, Philip Wong",ChiuBingBing,我同我隻狗仔嘅快樂時光。,,"Pets, Childhood, Experience",,
00269p,00269p-f-code.csv,大霧山嘅最後日子,The Last Day on Tai Mo Shan,細路 Child,HBL Lv7,,King,Ambika Rao,,"King (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Ruchi Shah,,,,,
00270,00270-f-code.csv,菜肉包,,細路 Child,HBL Lv1,,賽德克,,,"賽德克 (作者 Author), Joanne Chu, Philip Wong",Wendy Yu,,,,,
00271,00271-f-code.csv,揾啱屋企,Finding the Right Home,teen/adult,HBL Lv7,,綠柚子,,,"綠柚子 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",,,,,,
00272,00272-f-code.csv,觀塘交通日常,Daily Traffic in Kwun Tong,teen/adult,HBL Lv7,,黃嘉俊,,,"黃嘉俊 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",,,,,,
00273,00273-f-code.csv,叮叮,Tram,teen/adult,HBL Lv7,,天水川樹 ,,,"天水川樹 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",,,,,,
00274,00274-f-code.csv,新同事,New Colleague,teen/adult,HBL Lv5,,Yip Chun Yin,,,"Yip Chun Yin (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",DarkChildRed,,,,,
00275,,大排檔,,,,,,,,,,,,,,
00276p,00276p-f-code.csv,數腳仔,,細路 Child,HBL Lv1,,Karen Wong,,,"Karen Wong (作者 Author), Joanne Chu",Measa Sovonnarea,,,,,
00277p,00277p-f-code.csv,呢個係我哥哥,,細路 Child,HBL Lv1,,Karen Wong,,,"Karen Wong (作者 Author), Joanne Chu",Pallak Goswamy,,,,,
00279p,00279p-f-code.csv,太細個喇,,細路 Child,HBL Lv5,,黃嘉俊 ,,,"黃嘉俊 (作者 Author), 張錫莉, Connie Li, Philip Wong, Karen Man",Shailja Jain Chougule,,,,,
00280p,00280p-f-code.csv,尋找雪豹,Looking for Snow Leopard,teen/adult,HBL Lv7,,Suki ,Ranjini Murali,,"Suki (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Komal Jain,,,,,
00281p,00281p-f-code.csv,我哋嘅歌聲,Our Singing Voice,細路 Child,HBL Lv6,,Mikami,Deepanjana Pal,,"Mikami (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",Rajiv Eipe,,,,,
00282,00282-f-code.csv,我唔係鹹濕仔,I Am Not a Lustful Guy,child/teen/adult,,,趙婉慧,,,"趙婉慧 (作者 Author), 張錫莉, Connie Li, Philip Wong,Arthur Edwards, Jade Wu (Voice artist)",Kenneth,,,,,
00283,00283-f-code.csv,制水嘅故事,Water Rationing,child/teen/adult,HBL Lv5,,Q,,,"Q (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 小明 (Voice artist)",Wmekaco,,,,,
00284p,00284p-f-code.csv,飛,Fly,,HBL Lv5,,黃嘉俊 ,,,"黃嘉俊 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 子豪",Upamanyu Bhattacharyya,,,,,
00285p,00285p-f-code.csv,Maths story 1: 媽媽幾點返屋企？,When Will Mama Be Back?,child/teen/adult,HBL Lv3,,Miss Colour ,Prathiba Swaminathan,,"Miss Colour (作者 Author), Connie Li, Arthur Edwards, Joanne Chu, Kit Shum (Voice artist)",Alankrita Amaya,,,,,"“When Will Mama Be Back?” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, When Will Amma Be Back? (English), written by Prathiba Swaminathan, illustrated by Alankrita Amaya, published by Pratham Books (© Pratham Books, 2019) under a CC BY 4.0 license on StoryWeaver. "
00286p,00286p-f-code.csv,Maths story 2: 免費雪條,An Ice-lolly for Free,child/teen/adult,HBL Lv4,,Miss Colour ,Alankrita Amaya,,"Miss Colour (作者 Author), Connie Li, Arthur Edwards, Joanne Chu",Alankrita Amaya,,,,,"“An Ice-lolly for Free” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, A Kulfi for Free! (English), written by Alankrita Amaya, illustrated by Alankrita Amaya, published by Pratham Books (© Pratham Books, 2019) under a CC BY 4.0 license on StoryWeaver. "
00287p,00287p-f-code.csv,Maths story 3: 貓、老鼠同平面圖形,"Cat, Rat and the 2D Shapes",child/teen/adult,HBL Lv4,,Miss Colour ,Praba Ram and Sheela Preuitt,,"Miss Colour (作者 Author), Connie Li, Arthur Edwards, Joanne Chu",Rajiv Eipe,,,,,"“Cat, Rat and the 2D Shapes” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, Cube Cat, Cone Cat (English), written by Praba Ram and Sheela Preuitt, illustrated by Rajiv Eipe, published by Pratham Books (© Pratham Books, 2019) under a CC BY 4.0 license on StoryWeaver."
00288p,,Maths story 4: 貓、老鼠同立體圖形,"Cat, Rat and the 3D Shapes",child/teen/adult,HBL Lv4,,Miss Colour ,Praba Ram and Sheela Preuitt,,"Miss Colour (作者 Author), Connie Li, Arthur Edwards, Joanne Chu",Rajiv Eipe,,,,,"“Cat, Rat and the 3D Shapes” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, Cube Cat, Cone Cat (English), written by Praba Ram and Sheela Preuitt, illustrated by Rajiv Eipe, published by Pratham Books (© Pratham Books, 2019) under a CC BY 4.0 license on StoryWeaver. "
00289p,,Maths story 5: 樂園排排坐,Sitting Side by Side,child/teen/adult,HBL Lv4,,Miss Colour ,Kavitha Mandana,,"Miss Colour (作者 Author), Connie Li, Arthur Edwards, Joanne Chu",Nirzara Verulkar,,,,,"“Sitting Side by Side” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, Maths at the Mela (English), written by Kavitha Mandana, illustrated by Nirzara Verulkar, published by Pratham Books (© Pratham Books, 2019) under a CC BY 4.0 license on StoryWeaver. "
00290p,,Maths story 6: 畫畫遊戲,The Game of Shapes,child/teen/adult,HBL Lv4,,Miss Colour ,Anitha Murthy,,"Miss Colour (作者 Author), Connie Li, Arthur Edwards, Joanne Chu",Ajanta Guhathakurta,,,,,"“The Game of Shapes” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, The Drawing Game (English), written by Anitha Murthy, illustrated by Ajanta Guhathakurta, published by Pratham Books (© Pratham Books, 2019) under a CC BY 4.0 license on StoryWeaver. "
00291p,,Maths story 7: 有果同享,Sharing Mangoes,child/teen/adult,HBL Lv4,,Miss Colour ,Ramya Pai,,"Miss Colour (作者 Author), Connie Li, Arthur Edwards, Joanne Chu",Meghna Menon,,,,,"“Sharing Mangoes” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2022), is based on the original story, Many Mangoes to Share (English), written by Ramya Pai, illustrated by Meghna Menon, published by Pratham Books (© Pratham Books, 2019) under a CC BY 4.0 license on StoryWeaver. "
00292p,,Maths story 8: 救命呀！我反轉咗！,,,,,,,,,,,,,,
00293,,Mental Health 1,,,,,,,,,,,,,,
