storyid,legacysheet,titleC,titleE,target,levelC,levelE,author,originalAuthor,editor,cantoneseTeam,artist,synopsisC,synopsisE,keywords,isbn,attribution
00037,00037-f-code.csv,望,,大人 Adults,HBL Lv3,,牛刀 Raymond Tse,,Edwin,,Eunice WIK (cover design),,,,,"“What A Coincidence” (Cantonese), written by Raymond Tse, design by Eunice WIK, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk"
00038,00038-f-code-video.csv,阿仔,      ,大人 Adults,HBL Lv2,,葉俊延,,,葉俊延,,,,,,
00039p,00039p-f-code.csv,我哋要永遠喺埋一齊,Together Forever,細路 Child,HBL Lv5,,Suki,Shikha Tripathi,,"Suki (作者 Author), 張錫莉, Connie Li, Philip Wong, Pong, 小明 (Voice artist)",Ogin Nayam,,,,,
00040p,00040p-f-code.csv,十公主,Ten Princesses,細路 Child,HBL Lv5,,Gaaupper,Kamla Bhasin,,"Gaaupper (作者 Author), 張錫莉, Connie Li, Johnas (Editor), Jade Wu (Voice artist)",,,,,,
00041,00041-f-code-print.csv,白白,A white cat,細路 Child,HBL Lv2,,葉俊延,,Edwin,,Choicez,,,,,
00042,,深夜加油站,,,,,,,,,,,,,,
00043p,00043p-f-code.csv,植物王國,Kingdom of Plants,細路 Child,HBL Lv5,,Cassie,Jerry Pinto,,"Cassie (作者 Author), 張錫莉, Connie Li, Philip Wong, Pong, 小明 (Voice artist)",Kalyani Ganapathy,,,,,
00044,00044-f-code.csv,波板糖,,細路 Child,HBL Lv4,,Menah Lam,,,"Menah Lam （作者 Author), Ichirou, Ishi, Connie Li",Kenneth,,,,,
00045,00045-f-code.csv,唔該晒你,Thank You Very Much,大人 Adults,HBL Lv4,,Dolce Joy,,,"Edwin Lo, Joanne Chu, So Chin Pong",,,,,,
00046,00046-f-code.csv,唔再驚蜜蜂,Bees Are Not Frightening,細路 Child,HBL Lv3,,木星,,Edwin,,Moon Lui,,,,,
00047p,00047p-f-code.csv,婆婆今年幾歲？,,細路 Child,HBL Lv5,,天水村樹,,,"天水村樹 (作者 Author), 張錫莉, Connie Li, Philip Wong, Pong, Joanne Chu, Manasi Thapa, Kalin Wu",Kaveri Gopalakrishnan,,,,,
00053,00053-f-code.csv,救救地球村,,Teen & Adult,HBL Lv4,,Connie,Jeremy Deaton,,"Joanne Chu, Philip Wong",Matteo Farinella,,,,,"“Climate Change: Save Global Village” (Cantonese), written by Connie, Based on Are We Screwed On Climate Change? Written by Jeremy Deaton, art by Matteo Farinella, Released by Nexus Media, Cantonese Version published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk "
00056,,,RAP,,,,,,,,,,,,,
00057,00057-f-code.csv,生活謊言,,大人 Adult,HBL Lv1,,939,,,,Eunice WIK (cover design),,,,,"“Little Bite Collection” (Cantonese), written by 939, design by Eunice WIK, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk"
00058,00058-f-code.csv,中篇,Little Bite Collection,大人 Adult,HBL Lv1,,939,,,,Eunice WIK (cover design),,,,,
00059,00059-f-code-video.csv,疫情系列,On Covid-19,大人 Adult,HBL Lv2,,Connie Li,,,Connie Li,,,,,,"“On Covid-19” (Cantonese), written by Connie Li, published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk"
00060,00060-f-code.csv,短篇故事1,Mini Stories 1,大人 Adult,HBL Lv4,,939,,,"939, Summer Mut",,,,,,"“Mini Stories” (Cantonese), written by 939, published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk"
00061,00061-f-code.csv,一家三口,,大人 Adult,HBL Lv4,,939,,,"939, Summer Mut, Joanne",,,一家三口既簡單又溫暖嘅生活,"Parenting, Family, Life",,"“A Family Of Three” (Cantonese), written by 939, published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk"
00062,00062-f-code.csv,短篇故事2,Mini Storie 2,大人 Adult,HBL Lv4,,Connie,,,"Connie （作者Author), Joanne Chu, Lee Dennig",,,,,,"""Mini Stories - 2” (Cantonese), written by Connie, published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk"
00063,00063-f-code.csv,感情問題,,,,,,,,,,,,,,
00064,00064-f-code.csv,為幼稚園開學準備,Kindagarden 1,,HBL Lv4,,"Connie, Viveik",,Edwin,"Connie, Ingrid, Edwin, Grace Chan",Edeline,,,,,
00065,00065-f-code.csv,我想揸巴士返學,Kindagarden 2 /I Wanna Drive a Bus to School!,細路 Child,HBL Lv4,,Connie,,,"Connie, Jeanette, Raymond, Shan (Cantonese recording)",CHOICEZ,,,,,
00066,00066-f-code.csv,幼稚園好多嘢玩,Kindagarden 3,細路 Child,HBL Lv4,,Connie,,,Aquaria Li (Cantonese recording),Wendy Wu,,,,,
00067,00067-f-code.csv,我要做超人,Kindagarden 4,細路 Child,,,Connie,,,Toby Ng,Wendy,,,,,
00101p,00101p-f-code.csv,Rani 返學喇！,A School for Everyone,細路 Child,HBL Lv3,CEFR A2,Cheryl Rao,,,"Kimmy, Christine, Chaak, Wolf, Ichiban(sound recording)",Mayur Mistry,Rani第一日返學嘅心情係點嘅呢？,The first day in School. The importance of education for all Girls. ,"童年丶機會丶獨立 Childhood, Opportunity, Independence",,
00102p,,Anand幾時嚟啊？,Where's Anand,細路 Child,HBL Lv3,,Rajiv Eipe,,," 一郎  Ichirou
",Rajiv Eipe,,,,,
00103p,00103p-f-code.csv,我想要嗰個,"That One, Please!",細路 Child,HBL Lv2,CEFR A2,一郎 Ichirou,Mala Kumar,,一郎 Ichirou,Soumya Menon,點解永遠都唔可以攞最上面嗰個？,In a world designed for adults how can Anil get to what he wants ?,"Understanding, Asking for help, Independence
",,
00104p,00104p-f-code.csv,啲聲好嘈啊,It's Noisy!,細路 Child,HBL Lv2,CEFR A1,一郎 Ichirou,,,"一郎 Ichirou, Nicole, Summer Mut",Zainab Tambawalla,好多聲音，我點瞓啊？,How can I get some peace and quiet around here ?,"Children, Sounds, Imagine",978-988-75802-1-8,"“I Can’t Sleep” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020), based on original story Ting Tong (English), written by Lubaina Bandukwala, illustrated by Zainab Tambawalla, published by Pratham Books (© Pratham Books, 2011) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00105p,00105p-f-code.csv,鍾意顏色嘅熊人,The Bear who Loves Colour,細路 Child,HBL Lv4,CEFR A2,,,,"一郎 Ichirou, 魚魚老師, Summer Mut",Ajanta Guhathakurta,白雪雪嘅熊人好鍾意顏色，佢會用咩方法令到自己身上有唔同顏色呢？,Mrs Bear loves to wear Colours. What colors will she choose to wear today ?,"顏色丶自然丶簡單 Colors, Nature, Simplicity",978-988-75802-9-4,"“The Bear Who Loves Colours” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020), from Colours (English), by Alisha Berger, based on original story रंग (Hindi), written by Priyanka, illustrated by Ajanta Guhathakurta, published by Room to Read (© Room to Read, 2015) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00106p,00106p-f-code.csv,高啲，矮啲,"Taller, Shorter",細路 Child,HBL Lv2,," 一郎 Ichirou
",Huy Chheng Rattana,," 一郎 Ichirou
",Seat Sopheap,,,,,"""Taller, Shorter"" (Cantonese), translated by HamBaangLaang (2020) from Tall and Short (English), by Celia Bolam, based on original story ខ្ពស់និងទាប (Khmer), written by Huy Chheng Rattana, illustrated by Seat Sopheap, published by Room to Read (© Room to Read, 2015) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in"
00107p,,講畀邊個聽？,Who can I Tell?,,,,,,,,,,,,,
00108p,00108p-f-code.csv,邊個叫醒到阿高？,Who can Wake Him Up?,細路 Child,HBL Lv2,CEFR A2," 一郎 Ichirou
",,,"一郎 Ichirou, Summer Mut",Shweta Mohapatra,究竟咩方法先可以叫醒阿高起身食早餐？,Will his friends help Beema get up in time ?,"合作丶習慣丶幫助別人Teamwork, Habits, Helping others",978-988-75802-5-6,"“Why am I so tired?”(Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from The Sleepyhead (English), translated by Rajesh Khar, based on original story भीमा गधा (Hindi), written by Kiran Kasturia, illustrated by Shweta Mohapatra, published by Pratham Books (© Pratham Books, 2012) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in"
00109p,00109p-f-code.csv,玩乜好？,Let's Play,細路 Child,HBL Lv3,,一郎 Ichirou,"Shantdas Manandhar, Shilpi Pradhan",,一郎 Ichirou,Abin Shrestha,,,,,
00110p,00110p-f-code-video.csv,數下有幾多動物,Counting animals,,,,,"Zanele Buthelezi, Thembani Dladla, Clare Verbeek",,,Rob Owen,,,,,"“Counting Animals” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) is a derivative of Count Animals (Cantonese) translated by Dohliam, published by Hong Kong Storybook under a CC BY 3.0 license, based on the original story Counting Animals (English), written by Clare Verbeek, Thembani Dladla, Zanele Buthelezi, illustrated by Rob Owen, published by African Storybook Initiative (© African Storybook Initiative, 2007) under a CC BY 4.0 license on www.africanstorybook.org"
00111p,00111p-f-code.csv,感受天氣嘅女仔,Weather Girl,,,,,"Clare Verbeek, Thembani Dladla, Zanele Buthelezi",,,"Sandra McDougall, Ingrid Schechter",,,,,"“Weather Girl” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) is a derivative of Weather Book (Cantonese) translated by Dohliam, published by Hong Kong Storybook under a CC BY 3.0license, based on the original story Weather Book (English), written by Clare Verbeek, Thembani Dladla, Zanele Buthelezi, illustrated by Sandra McDougall, published by African Storybook Initiative (© African Storybook Initiative, 2007)under a CC BY 4.0 license on www.africanstorybook.org"
00112p,00112p-f-code.csv,婆婆嘅芒果樹,Grandma's Mango Tree,細路 Child,HBL Lv2,CEFR A1,一郎 Ichirou,,,"一郎 Ichirou, Summer Mut",Kavya Singh,喺婆婆屋企發現咗一棵好特別嘅芒果樹。,A secret hiding place at Grandma’s home.,"童年丶祖父母丶大自然Childhood, Grandparents, Nature",978-988-75801-9-5,"“Grandma’s Mango Tree” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020), based on original story The Mango Tree (English), written by Kanchan Bannerjee, illustrated by Kavya Singh, published by Pratham Books (© Pratham Books, 2013) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00113p,00113p-f-code.csv,史先生學笑,Sringeri Srinivas Learns to Laugh,細路 Child,HBL Lv4,CEFR A2,Rohini Nilekani,,,,Angie & Upesh,,Will anger and rage help Srinivas solve his problem?,"Responsibility, Community, Nature",,
00114p,00114p-f-code.csv,嫲嫲個菜園,Where are the Potatoes ?,細路 Child,HBL Lv2,CEFR A2, 一郎 Ichirou,Vinita Krishna,, 一郎 Ichirou,Suvidha Mistry,菜園有咁多蔬菜，究竟啲薯仔係生喺邊到嘅呢？,Underground or on the plant ? Where do vegetables grow ?,,"Problem Solving, Farm life, Family",
