storyid	legacysheet	titleC	titleE	target	levelC	levelE	author	editor1	editor2	artist	synopsisC	synopsisE	keywords	isbn	attribution
00184p	00184p-f-code.csv	種子銀行	The Seed Savers												
00185	00185-f-code.csv	靚女													
00186p	00186p-f-code.csv	上有巫婆，下有怪獸													
00187p	00187p-f-code.csv	校規	The Right Way School												
00188p	00188p-f-code.csv	蝴蝶好靚呀	A Butterfly Smile												
00189	00189-f-code.csv	姐姐	Helper												
00190	00190-f-code.csv	一韻到底	All About Rhyme												
00191p	00191p-f-code.csv	讓我閃耀	Stage Fright												
00192p	00192p-f-code.csv	大藝術家	Angry akku												
00193	00193-f-code.csv	新手父母													
00194p	00194p-f-code.csv	點解？													
00195p	00195p-f-code.csv	寵物													
00196p	00196p-f-code.csv	流浪狗													
00197	00197-f-code.csv	演唱會													
00198	00198-f-code.csv	塞車													
00199	00199-f-code.csv	涼茶舖嘅Happy Hour													
00200	00200-f-code.csv	至like交通工具													
00201	00201-f-code.csv	時間，你去咗邊？													
00202	00202-f-code.csv	豬仔藏寶圖													
00203	00203-f-code.csv	飲茶													
00204	00204-f-code.csv	父子——子													
00205	00205-f-code.csv	父子——父													
00206	00206-f-code.csv	選班長													
00207	00207-f-code.csv	廣東話中國神話故事．盤古開天闢地．女媧造人													
00208	00208-f-code.csv	八號													
00209	00209-f-code-print2.csv	河狸築巢記													
00210	00210-f-code.csv	廣東話中國寓言故事．塞翁失馬，焉知非福													
00211	00211-f-code.csv	廣東話中國寓言故事．江郎才盡．夢筆生花													
00212	00212-f-code.csv	廣東話中國寓言故事．一飯千金													
00213	00213-f-code.csv	廣東話中國寓言故事．杞人憂天．杯弓蛇影													
00214	00214-f-code.csv	廣東話中國智慧故事．曹沖稱象													
00215	00215-f-code.csv	廣東話中國智慧故事．田忌賽馬													
00216	00216-f-code.csv	淥麵													
00217	00217-f-code.csv	望夫石													
00218	00218-f-code.csv	廣東話中國智慧故事．神童孔融													
00219	00219-f-code.csv	廣東話中國智慧故事．東方朔傳奇													
00220	00220-f-code.csv	廣東話中國神話故事．大禹治水													
00221p		五號仔去咗邊？													
00222p	00222p-f-code.csv	堂叔嘅拖肥糖													
00223p	00223p-f-code.csv	嘉欣嘅飯盒													
00224p	00224p-f-code.csv	哥哥嘅朋友													
00225p	00225p-f-code.csv	一隻海龜嘅回憶													
00226p	00226p-f-code.csv	我隱咗形啊！													
00227p	00227p-f-code.csv	改造漁村													
00228p	00228p-f-code.csv	法蒂瑪同月亮													
00229	00229-f-code.csv	廣東話中國神話故事．后羿射日同埋嫦娥奔月													
00230p	00230p-f-code.csv	古宅心慌慌													
00231p	00231p-f-code.csv	老鼠仔班班													
00232	00232-f-code.csv	凍檸茶													
00233p	00233p-f-code.csv	去果園玩													
00234	00234-f-code.csv	廣東話中國神話故事．精衛填海													
00235	00235-f-code.csv	我係陳凱琪													
00236	00236-f-code.csv	廣東話中國智慧故事．愚公移山．賣油翁													
00237	00237-f-code.csv	廣東話中國寓言故事．曾參嘅謠言同埋三隻老虎嘅故事													
00238	00238-f-code.csv	廣東話中國神話故事．山海經神話與故事													
00239p	00239p-f-code.csv	探寶尋寶													
00240p	00240p-f-code.csv	我嘅夢想魔氈													
00241p	00241p-f-code.csv	郁郁手指‧天下我有													
00242p	00242p-f-code.csv	彩色世界													
00243	00243-f-code.csv	族譜													
00244p	00244p-f-code.csv	愛的風箏													
00245p	00245p-f-code.csv	我嘅好朋友Bonda													
00246p	00246p-f-code.csv	冇人信我													
00247p	00247p-f-code.csv	失控嘅雀仔													
00248p	00248p-f-code.csv	食月亮嘅巨龍													
00249p	00249p-f-code.csv	錢係咩嚟㗎？													
00250p	00250p-f-code.csv	嘉嘉嘅紫色朋友													
00251p	00251p-f-code.csv	雨神城蒙難記													
00252p	00252p-f-code.csv	數字人生													
00253p	00253p-f-code.csv	科技之外													
00256	00256-f-code.csv	貓貓唔見咗													
00257	00257-f-code.csv	買嘢													
00258	00258-f-code.csv	掛住婆婆													
00259	00259-f-code.csv	媽媽病咗													
00260	00260-f-code.csv	搭巴士													
00261	00261-f-code.csv	飲早茶													
00262p	00262p-f-code.csv	咩聲嚟㗎？													
00263	00263-f-code-print.csv	雀仔	Bird												
00264	00264-f-code.csv	生日快樂													
00265	00265-f-code.csv	叻叻花貓													
00266	00266-f-code.csv	海龜	Turtle												
00267	00267-f-code.csv	兔仔要走喇													
00268	00268-f-code.csv	我有一隻狗													
00269p	00269p-f-code.csv	大霧山嘅最後日子													
00270	00270-f-code.csv	菜肉包													
00271	00271-f-code.csv	揾啱屋企													
00272	00272-f-code.csv	觀塘交通日常													
00273	00273-f-code.csv	叮叮													
00274	00274-f-code.csv	新同事													
00275		大排檔													
00276p	00276p-f-code.csv	數腳仔													
00277p	00277p-f-code.csv	呢個係我哥哥													
00279p	00279p-f-code.csv	太細個喇													
00280p	00280p-f-code.csv	尋找雪豹													
00281p	00281p-f-code.csv	我哋嘅歌聲													
00282	00282-f-code.csv	我唔係鹹濕仔													
00283	00283-f-code.csv	制水嘅故事													
00284p	00284p-f-code.csv	飛													
00285p	00285p-f-code.csv	Maths story 1: 媽媽幾點返屋企？													
00286p	00286p-f-code.csv	Maths story 2: 免費雪條													
00287p	00287p-f-code.csv	Maths story 3: 貓、老鼠同平面圖形													
00288p		Maths story 4: 貓、老鼠同立體圖形													
00289p		Maths story 5: 樂園排排坐													
00290p		Maths story 6: 畫畫遊戲													
00291p		Maths story 7: 有果同享													
00292p		Maths story 8: 救命呀！我反轉咗！													
00293		Mental Health 1													
00294		Mental Health													
00295		Mental Health													
00296		Mental Health													
00297		Mental Health													
00300p	00300p-f-code.csv	Saru嘅秘密													
